PFAM	DUF	CS	GO	Ontology	Description	PFAMDescription	PFAMCount	DUFCount
PF05606	PF02989	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF777)	30	1874
PF05619	PF02989	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF787)	30	1874
PF05632	PF02989	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF792)	30	1874
PF06238	PF02989	High	NA	NA	NA	NA	27	1874
PF07094	PF02989	High	NA	NA	NA	Protein of unknown function (DUF1357)	31	1874
PF07316	PF02989	Very high	NA	NA	NA	Protein of unknown function (DUF1463)	30	1874
PF07341	PF02989	Very high	NA	NA	NA	Protein of unknown function (DUF1473)	30	1874
PF07405	PF02989	High	NA	NA	NA	Protein of unknown function (DUF1506)	25	1874
PF13029	PF02989	Very high	NA	NA	NA	Domain of unknown function (DUF3890)	30	1874
PF01637	PF03008	High	NA	NA	NA	ATPase domain predominantly from Archaea	4699	30
PF00938	PF03072	Very high	NA	NA	NA	Lipoprotein	4	8
PF03086	PF03072	Very high	NA	NA	NA	Domain of unknown function (DUF240)	4	8
PF03257	PF03072	Very high	NA	NA	NA	Mycoplasma adhesin P1	4	8
PF00938	PF03086	Very high	NA	NA	NA	Lipoprotein	4	2268
PF03072	PF03086	Very high	NA	NA	NA	Domain of unknown function (DUF237)	4	2268
PF03257	PF03086	Very high	NA	NA	NA	Mycoplasma adhesin P1	4	2268
PF00921	PF03112	Low	NA	NA	NA	Borrelia lipoprotein	24	4
PF07510	PF03235	Very high	NA	NA	NA	Protein of unknown function (DUF1524)	8454	NA
PF03206	PF03270	High	GO:0009399	BP	nitrogen fixation	Nitrogen fixation protein NifW	1127	1
PF04319	PF03270	High	GO:0009399	BP	nitrogen fixation	NifZ domain	1038	1
PF04891	PF03270	Low	GO:0009399	BP	nitrogen fixation	NifQ	1047	1
PF05082	PF03270	High	NA	NA	NA	Rop-like	869	1
PF06988	PF03270	High	GO:0009399	BP	nitrogen fixation	NifT/FixU protein	1038	1
PF11844	PF03270	High	NA	NA	NA	Domain of unknown function (DUF3364)	1129	1
PF00921	PF03434	Low	NA	NA	NA	Borrelia lipoprotein	24	2
PF01441	PF03434	High	NA	NA	NA	Lipoprotein	32	2
PF01672	PF03434	High	NA	NA	NA	Putative plasmid partition protein	32	2
PF02890	PF03434	High	NA	NA	NA	Borrelia family of unknown function DUF226	30	2
PF02989	PF03434	Very high	NA	NA	NA	Lyme disease proteins of unknown function	30	2
PF02999	PF03434	Very high	NA	NA	NA	Borrelia orf-D family	30	2
PF05085	PF03434	Very high	NA	NA	NA	Protein of unknown function (DUF685)	30	2
PF05113	PF03434	Very high	NA	NA	NA	Protein of unknown function (DUF693)	30	2
PF05246	PF03434	Very high	NA	NA	NA	Protein of unknown function (DUF735)	30	2
PF05561	PF03434	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF764)	30	2
PF05606	PF03434	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF777)	30	2
PF05619	PF03434	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF787)	30	2
PF05632	PF03434	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF792)	30	2
PF06238	PF03434	High	NA	NA	NA	NA	27	2
PF07094	PF03434	High	NA	NA	NA	Protein of unknown function (DUF1357)	31	2
PF07316	PF03434	Very high	NA	NA	NA	Protein of unknown function (DUF1463)	30	2
PF07341	PF03434	Very high	NA	NA	NA	Protein of unknown function (DUF1473)	30	2
PF07405	PF03434	High	NA	NA	NA	Protein of unknown function (DUF1506)	25	2
PF13029	PF03434	Very high	NA	NA	NA	Domain of unknown function (DUF3890)	30	2
PF10335	PF03445	Very high	NA	NA	NA	Putative nucleotidyltransferase substrate binding domain	5510	366
PF03358	PF03860	Low	NA	NA	NA	NADPH-dependent FMN reductase	20995	5938
PF00113	PF03988	Low	NA	NA	NA	Enolase, C-terminal TIM barrel domain	25084	6921
PF00984	PF03988	Low	GO:0055114	BP	oxidation-reduction process	UDP-glucose/GDP-mannose dehydrogenase family, central domain	21830	6921
PF00999	PF03988	Low	GO:0055085	BP	transmembrane transport	Sodium/hydrogen exchanger family	23035	6921
PF00999	PF03988	Low	GO:0006812	BP	cation transport	Sodium/hydrogen exchanger family	23035	6921
PF01035	PF03988	Low	GO:0006281	BP	DNA repair	6-O-methylguanine DNA methyltransferase, DNA binding domain	24056	6921
PF01061	PF03988	Low	NA	NA	NA	ABC-2 type transporter	21774	6921
PF01381	PF03988	Low	NA	NA	NA	Helix-turn-helix	24979	6921
PF01544	PF03988	Low	GO:0055085	BP	transmembrane transport	CorA-like Mg2+ transporter protein	19885	6921
PF01544	PF03988	Low	GO:0030001	BP	metal ion transport	CorA-like Mg2+ transporter protein	19885	6921
PF01545	PF03988	Low	GO:0055085	BP	transmembrane transport	Cation efflux family	22644	6921
PF01545	PF03988	Low	GO:0006812	BP	cation transport	Cation efflux family	22644	6921
PF01569	PF03988	Low	NA	NA	NA	PAP2 superfamily	22974	6921
PF01625	PF03988	Low	GO:0055114	BP	oxidation-reduction process	Peptide methionine sulfoxide reductase	21388	6921
PF01636	PF03988	Low	NA	NA	NA	Phosphotransferase enzyme family	22115	6921
PF01641	PF03988	Low	GO:0055114	BP	oxidation-reduction process	SelR domain	20463	6921
PF02823	PF03988	Low	GO:0015986	BP	ATP synthesis coupled proton transport	ATP synthase, Delta/Epsilon chain, beta-sandwich domain	24070	6921
PF03358	PF03988	Low	NA	NA	NA	NADPH-dependent FMN reductase	20995	6921
PF03485	PF03988	Low	GO:0006420	BP	arginyl-tRNA aminoacylation	Arginyl tRNA synthetase N terminal domain	25575	6921
PF03720	PF03988	Low	GO:0055114	BP	oxidation-reduction process	UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain	21328	6921
PF03721	PF03988	Low	GO:0055114	BP	oxidation-reduction process	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain	21855	6921
PF03952	PF03988	Low	NA	NA	NA	Enolase, N-terminal domain	24728	6921
PF06071	PF03988	Low	NA	NA	NA	Protein of unknown function (DUF933)	25933	6921
PF06418	PF03988	Low	GO:0006221	BP	pyrimidine nucleotide biosynthetic process	CTP synthase N-terminus	25022	6921
PF08240	PF03988	Low	GO:0055114	BP	oxidation-reduction process	Alcohol dehydrogenase GroES-like domain	22195	6921
PF08241	PF03988	Low	GO:0008152	BP	metabolic process	Methyltransferase domain	24084	6921
PF09335	PF03988	Low	NA	NA	NA	SNARE associated Golgi protein	23631	6921
PF12681	PF03988	Low	NA	NA	NA	Glyoxalase-like domain	20821	6921
PF12695	PF03988	Low	NA	NA	NA	Alpha/beta hydrolase family	23656	6921
PF13193	PF03988	Low	NA	NA	NA	AMP-binding enzyme C-terminal domain	22906	6921
PF13460	PF03988	Low	NA	NA	NA	NAD(P)H-binding	18965	6921
PF13507	PF03988	Low	NA	NA	NA	CobB/CobQ-like glutamine amidotransferase domain	22881	6921
PF13522	PF03988	Low	NA	NA	NA	Glutamine amidotransferase domain	23919	6921
PF13561	PF03988	Low	NA	NA	NA	Enoyl-(Acyl carrier protein) reductase	23041	6921
PF13641	PF03988	Low	NA	NA	NA	Glycosyltransferase like family 2	19658	6921
PF13938	PF04016	High	NA	NA	NA	Putative heavy-metal chelation	1031	1959
PF00578	PF04134	Low	GO:0055114	BP	oxidation-reduction process	AhpC/TSA family	24298	254
PF06288	PF04175	Low	NA	NA	NA	Protein of unknown function (DUF1040)	1135	30
PF13489	PF04214	Low	NA	NA	NA	Methyltransferase domain	22564	3
PF00578	PF04235	Low	GO:0055114	BP	oxidation-reduction process	AhpC/TSA family	24298	4227
PF08241	PF04255	Low	GO:0008152	BP	metabolic process	Methyltransferase domain	24084	5336
PF01814	PF04282	Low	NA	NA	NA	Hemerythrin HHE cation binding domain	14567	1860
PF04293	PF04285	Very high	NA	NA	NA	SpoVR like protein	6037	6127
PF06798	PF04285	Very high	NA	NA	NA	PrkA serine protein kinase C-terminal domain	6056	6127
PF08298	PF04285	High	NA	NA	NA	PrkA AAA domain	6102	6127
PF01913	PF04289	High	GO:0006730	BP	one-carbon metabolic process	Formylmethanofuran-tetrahydromethanopterin formyltransferase	703	9558
PF02289	PF04289	High	GO:0006730	BP	one-carbon metabolic process	Cyclohydrolase (MCH)	751	9558
PF02741	PF04289	High	GO:0006730	BP	one-carbon metabolic process	FTR, proximal lobe	706	9558
PF09176	PF04289	High	NA	NA	NA	Methylene-tetrahydromethanopterin dehydrogenase, N-terminal	682	9558
PF00474	PF04341	High	GO:0055085	BP	transmembrane transport	Sodium:solute symporter family	19033	675
PF01989	PF04412	Very high	NA	NA	NA	Aconitase X swivel domain	1683	3500
PF00176	PF04465	High	NA	NA	NA	SNF2 family N-terminal domain	17386	8443
PF06634	PF04465	High	NA	NA	NA	Protein of unknown function (DUF1156)	1294	8443
PF04763	PF04746	Very high	NA	NA	NA	Protein of unknown function (DUF562)	4	NA
PF04746	PF04763	Very high	NA	NA	NA	Protein of unknown function (DUF575)	4	NA
PF09923	PF05071	Low	NA	NA	NA	Uncharacterized protein conserved in bacteria (DUF2155)	2852	5377
PF00921	PF05085	Low	NA	NA	NA	Borrelia lipoprotein	24	NA
PF01441	PF05085	High	NA	NA	NA	Lipoprotein	32	NA
PF01672	PF05085	High	NA	NA	NA	Putative plasmid partition protein	32	NA
PF02890	PF05085	High	NA	NA	NA	Borrelia family of unknown function DUF226	30	NA
PF02989	PF05085	Very high	NA	NA	NA	Lyme disease proteins of unknown function	30	NA
PF02999	PF05085	Very high	NA	NA	NA	Borrelia orf-D family	30	NA
PF03434	PF05085	Very high	NA	NA	NA	DUF276	30	NA
PF05113	PF05085	Very high	NA	NA	NA	Protein of unknown function (DUF693)	30	NA
PF05246	PF05085	Very high	NA	NA	NA	Protein of unknown function (DUF735)	30	NA
PF05561	PF05085	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF764)	30	NA
PF05606	PF05085	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF777)	30	NA
PF05619	PF05085	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF787)	30	NA
PF05632	PF05085	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF792)	30	NA
PF06238	PF05085	High	NA	NA	NA	NA	27	NA
PF07094	PF05085	High	NA	NA	NA	Protein of unknown function (DUF1357)	31	NA
PF07316	PF05085	Very high	NA	NA	NA	Protein of unknown function (DUF1463)	30	NA
PF07341	PF05085	Very high	NA	NA	NA	Protein of unknown function (DUF1473)	30	NA
PF07405	PF05085	High	NA	NA	NA	Protein of unknown function (DUF1506)	25	NA
PF13029	PF05085	Very high	NA	NA	NA	Domain of unknown function (DUF3890)	30	NA
PF00921	PF05113	Low	NA	NA	NA	Borrelia lipoprotein	24	20
PF01441	PF05113	High	NA	NA	NA	Lipoprotein	32	20
PF01672	PF05113	High	NA	NA	NA	Putative plasmid partition protein	32	20
PF02890	PF05113	High	NA	NA	NA	Borrelia family of unknown function DUF226	30	20
PF02989	PF05113	Very high	NA	NA	NA	Lyme disease proteins of unknown function	30	20
PF02999	PF05113	Very high	NA	NA	NA	Borrelia orf-D family	30	20
PF03434	PF05113	Very high	NA	NA	NA	DUF276	30	20
PF05085	PF05113	Very high	NA	NA	NA	Protein of unknown function (DUF685)	30	20
PF05246	PF05113	Very high	NA	NA	NA	Protein of unknown function (DUF735)	30	20
PF05561	PF05113	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF764)	30	20
PF05606	PF05113	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF777)	30	20
PF05619	PF05113	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF787)	30	20
PF05632	PF05113	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF792)	30	20
PF06238	PF05113	High	NA	NA	NA	NA	27	20
PF07094	PF05113	High	NA	NA	NA	Protein of unknown function (DUF1357)	31	20
PF07316	PF05113	Very high	NA	NA	NA	Protein of unknown function (DUF1463)	30	20
PF07341	PF05113	Very high	NA	NA	NA	Protein of unknown function (DUF1473)	30	20
PF07405	PF05113	High	NA	NA	NA	Protein of unknown function (DUF1506)	25	20
PF13029	PF05113	Very high	NA	NA	NA	Domain of unknown function (DUF3890)	30	20
PF00578	PF05114	Low	GO:0055114	BP	oxidation-reduction process	AhpC/TSA family	24298	3
PF00581	PF05114	Low	NA	NA	NA	Rhodanese-like domain	24015	3
PF01266	PF05114	Low	GO:0055114	BP	oxidation-reduction process	FAD dependent oxidoreductase	22871	3
PF09836	PF05114	Very high	NA	NA	NA	Putative DNA-binding domain	4519	3
PF10048	PF05114	High	NA	NA	NA	Predicted integral membrane protein (DUF2282)	2898	3
PF13489	PF05114	Low	NA	NA	NA	Methyltransferase domain	22564	3
PF00921	PF05246	Low	NA	NA	NA	Borrelia lipoprotein	24	NA
PF01441	PF05246	High	NA	NA	NA	Lipoprotein	32	NA
PF01672	PF05246	High	NA	NA	NA	Putative plasmid partition protein	32	NA
PF02890	PF05246	High	NA	NA	NA	Borrelia family of unknown function DUF226	30	NA
PF02989	PF05246	Very high	NA	NA	NA	Lyme disease proteins of unknown function	30	NA
PF02999	PF05246	Very high	NA	NA	NA	Borrelia orf-D family	30	NA
PF03434	PF05246	Very high	NA	NA	NA	DUF276	30	NA
PF05085	PF05246	Very high	NA	NA	NA	Protein of unknown function (DUF685)	30	NA
PF05113	PF05246	Very high	NA	NA	NA	Protein of unknown function (DUF693)	30	NA
PF05561	PF05246	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF764)	30	NA
PF05606	PF05246	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF777)	30	NA
PF05619	PF05246	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF787)	30	NA
PF05632	PF05246	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF792)	30	NA
PF06238	PF05246	High	NA	NA	NA	NA	27	NA
PF07094	PF05246	High	NA	NA	NA	Protein of unknown function (DUF1357)	31	NA
PF07316	PF05246	Very high	NA	NA	NA	Protein of unknown function (DUF1463)	30	NA
PF07341	PF05246	Very high	NA	NA	NA	Protein of unknown function (DUF1473)	30	NA
PF07405	PF05246	High	NA	NA	NA	Protein of unknown function (DUF1506)	25	NA
PF13029	PF05246	Very high	NA	NA	NA	Domain of unknown function (DUF3890)	30	NA
PF10074	PF05284	High	NA	NA	NA	Uncharacterized conserved protein (DUF2285)	1119	5
PF11000	PF05284	Low	NA	NA	NA	Protein of unknown function (DUF2840)	963	5
PF03503	PF05302	Very high	NA	NA	NA	Chlamydia cysteine-rich outer membrane protein 3	24	23
PF06587	PF05302	Very high	NA	NA	NA	Protein of unknown function (DUF1137)	24	23
PF07577	PF05302	Very high	NA	NA	NA	Domain of Unknown Function (DUF1547)	24	23
PF05660	PF05555	Very high	NA	NA	NA	Coxiella burnetii protein of unknown function (DUF807)	2	NA
PF00921	PF05561	Low	NA	NA	NA	Borrelia lipoprotein	24	27
PF01441	PF05561	High	NA	NA	NA	Lipoprotein	32	27
PF01672	PF05561	High	NA	NA	NA	Putative plasmid partition protein	32	27
PF02890	PF05561	High	NA	NA	NA	Borrelia family of unknown function DUF226	30	27
PF02989	PF05561	Very high	NA	NA	NA	Lyme disease proteins of unknown function	30	27
PF02999	PF05561	Very high	NA	NA	NA	Borrelia orf-D family	30	27
PF03434	PF05561	Very high	NA	NA	NA	DUF276	30	27
PF05085	PF05561	Very high	NA	NA	NA	Protein of unknown function (DUF685)	30	27
PF05113	PF05561	Very high	NA	NA	NA	Protein of unknown function (DUF693)	30	27
PF05246	PF05561	Very high	NA	NA	NA	Protein of unknown function (DUF735)	30	27
PF05606	PF05561	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF777)	30	27
PF05619	PF05561	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF787)	30	27
PF05632	PF05561	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF792)	30	27
PF06238	PF05561	High	NA	NA	NA	NA	27	27
PF07094	PF05561	High	NA	NA	NA	Protein of unknown function (DUF1357)	31	27
PF07316	PF05561	Very high	NA	NA	NA	Protein of unknown function (DUF1463)	30	27
PF07341	PF05561	Very high	NA	NA	NA	Protein of unknown function (DUF1473)	30	27
PF07405	PF05561	High	NA	NA	NA	Protein of unknown function (DUF1506)	25	27
PF13029	PF05561	Very high	NA	NA	NA	Domain of unknown function (DUF3890)	30	27
PF01381	PF05598	Low	NA	NA	NA	Helix-turn-helix	24979	5635
PF13751	PF05598	Very high	NA	NA	NA	Transposase DDE domain	6050	5635
PF00921	PF05606	Low	NA	NA	NA	Borrelia lipoprotein	24	4477
PF01441	PF05606	High	NA	NA	NA	Lipoprotein	32	4477
PF01672	PF05606	High	NA	NA	NA	Putative plasmid partition protein	32	4477
PF02890	PF05606	High	NA	NA	NA	Borrelia family of unknown function DUF226	30	4477
PF02989	PF05606	Very high	NA	NA	NA	Lyme disease proteins of unknown function	30	4477
PF02999	PF05606	Very high	NA	NA	NA	Borrelia orf-D family	30	4477
PF03434	PF05606	Very high	NA	NA	NA	DUF276	30	4477
PF05085	PF05606	Very high	NA	NA	NA	Protein of unknown function (DUF685)	30	4477
PF05113	PF05606	Very high	NA	NA	NA	Protein of unknown function (DUF693)	30	4477
PF05246	PF05606	Very high	NA	NA	NA	Protein of unknown function (DUF735)	30	4477
PF05561	PF05606	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF764)	30	4477
PF05619	PF05606	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF787)	30	4477
PF05632	PF05606	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF792)	30	4477
PF06238	PF05606	High	NA	NA	NA	NA	27	4477
PF07094	PF05606	High	NA	NA	NA	Protein of unknown function (DUF1357)	31	4477
PF07316	PF05606	Very high	NA	NA	NA	Protein of unknown function (DUF1463)	30	4477
PF07341	PF05606	Very high	NA	NA	NA	Protein of unknown function (DUF1473)	30	4477
PF07405	PF05606	High	NA	NA	NA	Protein of unknown function (DUF1506)	25	4477
PF13029	PF05606	Very high	NA	NA	NA	Domain of unknown function (DUF3890)	30	4477
PF13561	PF05610	Low	NA	NA	NA	Enoyl-(Acyl carrier protein) reductase	23041	6
PF00921	PF05619	Low	NA	NA	NA	Borrelia lipoprotein	24	30
PF01441	PF05619	High	NA	NA	NA	Lipoprotein	32	30
PF01672	PF05619	High	NA	NA	NA	Putative plasmid partition protein	32	30
PF02890	PF05619	High	NA	NA	NA	Borrelia family of unknown function DUF226	30	30
PF02989	PF05619	Very high	NA	NA	NA	Lyme disease proteins of unknown function	30	30
PF02999	PF05619	Very high	NA	NA	NA	Borrelia orf-D family	30	30
PF03434	PF05619	Very high	NA	NA	NA	DUF276	30	30
PF05085	PF05619	Very high	NA	NA	NA	Protein of unknown function (DUF685)	30	30
PF05113	PF05619	Very high	NA	NA	NA	Protein of unknown function (DUF693)	30	30
PF05246	PF05619	Very high	NA	NA	NA	Protein of unknown function (DUF735)	30	30
PF05561	PF05619	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF764)	30	30
PF05606	PF05619	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF777)	30	30
PF05632	PF05619	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF792)	30	30
PF06238	PF05619	High	NA	NA	NA	NA	27	30
PF07094	PF05619	High	NA	NA	NA	Protein of unknown function (DUF1357)	31	30
PF07316	PF05619	Very high	NA	NA	NA	Protein of unknown function (DUF1463)	30	30
PF07341	PF05619	Very high	NA	NA	NA	Protein of unknown function (DUF1473)	30	30
PF07405	PF05619	High	NA	NA	NA	Protein of unknown function (DUF1506)	25	30
PF13029	PF05619	Very high	NA	NA	NA	Domain of unknown function (DUF3890)	30	30
PF00921	PF05632	Low	NA	NA	NA	Borrelia lipoprotein	24	10
PF01441	PF05632	High	NA	NA	NA	Lipoprotein	32	10
PF01672	PF05632	High	NA	NA	NA	Putative plasmid partition protein	32	10
PF02890	PF05632	High	NA	NA	NA	Borrelia family of unknown function DUF226	30	10
PF02989	PF05632	Very high	NA	NA	NA	Lyme disease proteins of unknown function	30	10
PF02999	PF05632	Very high	NA	NA	NA	Borrelia orf-D family	30	10
PF03434	PF05632	Very high	NA	NA	NA	DUF276	30	10
PF05085	PF05632	Very high	NA	NA	NA	Protein of unknown function (DUF685)	30	10
PF05113	PF05632	Very high	NA	NA	NA	Protein of unknown function (DUF693)	30	10
PF05246	PF05632	Very high	NA	NA	NA	Protein of unknown function (DUF735)	30	10
PF05561	PF05632	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF764)	30	10
PF05606	PF05632	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF777)	30	10
PF05619	PF05632	Very high	NA	NA	NA	Borrelia burgdorferi protein of unknown function (DUF787)	30	10
PF06238	PF05632	High	NA	NA	NA	NA	27	10
PF07094	PF05632	High	NA	NA	NA	Protein of unknown function (DUF1357)	31	10
PF07316	PF05632	Very high	NA	NA	NA	Protein of unknown function (DUF1463)	30	10
PF07341	PF05632	Very high	NA	NA	NA	Protein of unknown function (DUF1473)	30	10
PF07405	PF05632	High	NA	NA	NA	Protein of unknown function (DUF1506)	25	10
PF13029	PF05632	Very high	NA	NA	NA	Domain of unknown function (DUF3890)	30	10
PF11445	PF05650	High	NA	NA	NA	Protein of unknown function (DUF2894)	869	317
PF11828	PF05650	High	NA	NA	NA	Protein of unknown function (DUF3348)	851	317
PF06896	PF05657	High	NA	NA	NA	Phage tail assembly chaperone proteins, TAC	102	1
PF05555	PF05660	Very high	NA	NA	NA	Coxiella burnetii protein of unknown function (DUF762)	2	24
PF05399	PF05674	Very high	NA	NA	NA	Ectropic viral integration site 2A protein (EVI2A)	1	NA
PF00578	PF05787	Low	GO:0055114	BP	oxidation-reduction process	AhpC/TSA family	24298	1
PF00581	PF05787	Low	NA	NA	NA	Rhodanese-like domain	24015	1
PF01266	PF05787	Low	GO:0055114	BP	oxidation-reduction process	FAD dependent oxidoreductase	22871	1
PF12697	PF05787	Low	NA	NA	NA	Alpha/beta hydrolase family	25298	1
PF13193	PF05787	Low	NA	NA	NA	AMP-binding enzyme C-terminal domain	22906	1
PF13561	PF05787	Low	NA	NA	NA	Enoyl-(Acyl carrier protein) reductase	23041	1
PF06947	PF05949	High	NA	NA	NA	Protein of unknown function (DUF1290)	3387	1357
PF00107	PF05988	Low	GO:0055114	BP	oxidation-reduction process	Zinc-binding dehydrogenase	22139	545
PF07883	PF05988	Low	NA	NA	NA	Cupin domain	23778	545
PF08240	PF05988	Low	GO:0055114	BP	oxidation-reduction process	Alcohol dehydrogenase GroES-like domain	22195	545
PF08241	PF05988	Low	GO:0008152	BP	metabolic process	Methyltransferase domain	24084	545
PF12681	PF05988	Low	NA	NA	NA	Glyoxalase-like domain	20821	545
PF12695	PF05988	Low	NA	NA	NA	Alpha/beta hydrolase family	23656	545
PF13561	PF05988	Low	NA	NA	NA	Enoyl-(Acyl carrier protein) reductase	23041	545
PF04196	PF06012	Very high	GO:0019079	BP	viral genome replication	Bunyavirus RNA dependent RNA polymerase	1	NA
PF04196	PF06012	Very high	GO:0006351	BP	transcription, DNA-templated	Bunyavirus RNA dependent RNA polymerase	1	NA
PF06025	PF06012	Very high	NA	NA	NA	Domain of Unknown Function (DUF913)	1	NA
PF09717	PF06012	Very high	NA	NA	NA	Plasmodium falciparum domain of unknown function (CPW_WPC)	1	NA
PF14377	PF06012	Very high	NA	NA	NA	Ubiquitin binding region	1	NA
PF04196	PF06025	Very high	GO:0019079	BP	viral genome replication	Bunyavirus RNA dependent RNA polymerase	1	2
PF04196	PF06025	Very high	GO:0006351	BP	transcription, DNA-templated	Bunyavirus RNA dependent RNA polymerase	1	2
PF06012	PF06025	Very high	NA	NA	NA	Domain of Unknown Function (DUF908)	1	2
