TIGRFAM	DUF	CS	GO	Ontology	Description	TIGRFAMDescription	PFAMCount	DUFCount
TIGR03744	PF07511	Very high	GO:0008150	BP	biological_process	conjugative transfer ATPase, PFL_4706 family	748	6612
TIGR03745	PF07511	High	GO:0008150	BP	biological_process	integrating conjugative element membrane protein, PFL_4702 family	634	6612
TIGR03746	PF07511	Very high	GO:0008150	BP	biological_process	integrating conjugative element protein, PFL_4703 family	689	6612
TIGR03747	PF07511	Very high	GO:0008150	BP	biological_process	integrating conjugative element membrane protein, PFL_4697 family	791	6612
TIGR03748	PF07511	High	NA	NA	NA	integrating conjugative element protein PilL, PFGI-1 class	726	6612
TIGR03749	PF07511	Very high	GO:0008150	BP	biological_process	integrating conjugative element protein, PFL_4704 family	740	6612
TIGR03750	PF07511	Very high	NA	NA	NA	conjugative transfer region protein, TIGR03750 family	717	6612
TIGR03751	PF07511	Very high	GO:0008150	BP	biological_process	conjugative transfer region lipoprotein, TIGR03751 family	744	6612
TIGR03752	PF07511	Very high	GO:0008150	BP	biological_process	integrating conjugative element protein, PFL_4705 family	749	6612
TIGR03754	PF07511	Very high	NA	NA	NA	conjugative coupling factor TraD, PFGI-1 class	781	6612
TIGR03755	PF07511	Very high	NA	NA	NA	integrating conjugative element protein, PFL_4711 family	769	6612
TIGR03756	PF07511	Very high	NA	NA	NA	integrating conjugative element protein, PFL_4710 family	764	6612
TIGR03757	PF07511	Very high	NA	NA	NA	integrating conjugative element protein, PFL_4709 family	596	6612
TIGR03758	PF07511	High	GO:0008150	BP	biological_process	integrating conjugative element protein, PFL_4701 family	637	6612
TIGR03759	PF07511	Very high	GO:0008150	BP	biological_process	integrating conjugative element protein, PFL_4693 family	742	6612
TIGR03760	PF07511	High	NA	NA	NA	integrating conjugative element relaxase, PFGI-1 class	827	6612
TIGR03761	PF07511	High	NA	NA	NA	integrating conjugative element protein, PFL_4669 family	718	6612
TIGR03764	PF07511	High	NA	NA	NA	integrating conjugative element, PFGI_1 class, ParB family protein	687	6612
TIGR03765	PF07511	Very high	NA	NA	NA	integrating conjugative element protein, PFL_4695 family	726	6612
TIGR03077	PF07577	Very high	NA	NA	NA	glycine cleavage protein H-like protein	24	1
TIGR04420	PF07599	High	NA	NA	NA	Sec region non-globular protein	52	5
TIGR04464	PF07599	High	NA	NA	NA	LipL41-expression chaperone Lep	39	5
TIGR04571	PF07599	High	GO:0009245	BP	lipid A biosynthetic process	lipid A Kdo2 1-phosphate O-methyltransferase	52	5
TIGR04327	PF07600	High	NA	NA	NA	outer membrane protein, LA_2444/LA_4059 family	52	507
TIGR04400	PF07600	High	GO:0008150	BP	biological_process	Arg-Lys translocation region protein phosphatase	49	507
TIGR04410	PF07600	High	NA	NA	NA	type II secretion system-associated lipoprotein	65	507
TIGR04420	PF07600	High	NA	NA	NA	Sec region non-globular protein	52	507
TIGR04453	PF07600	High	NA	NA	NA	Cys-rich protein, LA_1312 family	58	507
TIGR04571	PF07600	High	GO:0009245	BP	lipid A biosynthetic process	lipid A Kdo2 1-phosphate O-methyltransferase	52	507
TIGR03779	PF07610	Low	NA	NA	NA	Bacteroides conjugative transposon TraM protein	842	1
TIGR03780	PF07610	Low	NA	NA	NA	Bacteroides conjugative transposon TraN protein	825	1
TIGR03781	PF07610	Low	NA	NA	NA	Bacteroides conjugative transposon TraK protein	861	1
TIGR03782	PF07610	Low	NA	NA	NA	Bacteroides conjugative transposon TraJ protein	720	1
TIGR03783	PF07610	Low	GO:0032196	BP	transposition	Bacteroides conjugation system ATPase, TraG family	972	1
TIGR00272	PF07713	High	GO:0017183	BP	peptidyl-diphthamide biosynthetic process from peptidyl-histidine	diphthamide biosynthesis protein 2	2	NA
TIGR00600	PF07713	Very high	NA	NA	NA	DNA excision repair protein (rad2)	1	NA
TIGR00955	PF07713	High	NA	NA	NA	pigment precursor permease	2	NA
TIGR01989	PF07713	Very high	NA	NA	NA	ubiquinone biosynthesis monooxygenase COQ6	1	NA
TIGR02421	PF08014	Very high	NA	NA	NA	conserved hypothetical protein	2134	278
TIGR00276	PF08331	Very high	GO:0008616	BP	queuosine biosynthetic process	epoxyqueuosine reductase	13790	324
TIGR01777	PF08338	Very high	NA	NA	NA	TIGR01777 family protein	12020	3208
TIGR00255	PF08340	Very high	NA	NA	NA	TIGR00255 family protein	15729	NA
TIGR00589	PF08401	Low	GO:0006281	BP	DNA repair	methylated-DNA--[protein]-cysteine S-methyltransferase	23398	953
TIGR02464	PF08719	Very high	NA	NA	NA	conserved hypothetical protein	3337	1316
TIGR02653	PF08747	Very high	GO:0008150	BP	biological_process	conserved hypothetical protein	993	NA
TIGR02687	PF08747	Very high	NA	NA	NA	TIGR02687 family protein	1008	NA
TIGR04363	PF08768	Low	NA	NA	NA	FxLD family lantipeptide	367	70
TIGR04000	PF08830	Very high	GO:0051188	BP	cofactor biosynthetic process	bacillithiol biosynthesis deacetylase BshB2	1236	936
TIGR01332	PF08844	Low	NA	NA	NA	cytochrome b559, alpha subunit	392	24
TIGR01337	PF08844	High	GO:0015979	BP	photosynthesis	allophycocyanin, beta subunit	334	24
TIGR01338	PF08844	High	GO:0015979	BP	photosynthesis	phycocyanin, alpha subunit	313	24
TIGR01339	PF08844	High	GO:0015979	BP	photosynthesis	phycocyanin, beta subunit	320	24
TIGR01964	PF08844	High	NA	NA	NA	CO2 hydration protein	345	24
TIGR02028	PF08844	High	GO:0015995	BP	chlorophyll biosynthetic process	geranylgeranyl reductase	400	24
TIGR02732	PF08844	Low	NA	NA	NA	9,9'-di-cis-zeta-carotene desaturase	376	24
TIGR03039	PF08844	Low	GO:0009769	BP	photosynthesis, light harvesting in photosystem II	photosystem II chlorophyll-binding protein CP47	402	24
TIGR00403	PF08846	High	GO:0019684	BP	photosynthesis, light reaction	NADH-plastoquinone oxidoreductase, I subunit	401	19
TIGR01152	PF08846	Low	NA	NA	NA	photosystem II D2 protein (photosystem q(a) protein)	337	19
TIGR01153	PF08846	High	NA	NA	NA	photosystem II 44 kDa subunit reaction center protein	371	19
TIGR01332	PF08846	High	NA	NA	NA	cytochrome b559, alpha subunit	392	19
TIGR01333	PF08846	High	NA	NA	NA	cytochrome b559, beta subunit	361	19
TIGR02028	PF08846	High	GO:0015995	BP	chlorophyll biosynthetic process	geranylgeranyl reductase	400	19
TIGR02048	PF08846	High	GO:0006750	BP	glutathione biosynthetic process	putative glutamate--cysteine ligase	406	19
TIGR02056	PF08846	High	NA	NA	NA	chlorophyll synthase ChlG	392	19
TIGR02387	PF08846	High	NA	NA	NA	DNA-directed RNA polymerase, gamma subunit	383	19
TIGR02654	PF08846	High	GO:0007623	BP	circadian rhythm	circadian clock protein KaiB	392	19
TIGR02730	PF08846	High	GO:0016117	BP	carotenoid biosynthetic process	carotene isomerase	409	19
TIGR02732	PF08846	High	NA	NA	NA	9,9'-di-cis-zeta-carotene desaturase	376	19
TIGR02749	PF08846	Low	GO:0010236	BP	plastoquinone biosynthetic process	solanesyl diphosphate synthase	396	19
TIGR03039	PF08846	High	GO:0009769	BP	photosynthesis, light harvesting in photosystem II	photosystem II chlorophyll-binding protein CP47	402	19
TIGR03043	PF08846	Low	NA	NA	NA	photosystem II core protein PsbZ	381	19
TIGR03047	PF08846	High	NA	NA	NA	photosystem II reaction center protein Psb28	402	19
TIGR03048	PF08846	High	GO:0009773	BP	photosynthetic electron transport in photosystem I	photosystem I iron-sulfur protein PsaC	390	19
TIGR03049	PF08846	High	GO:0019684	BP	photosynthesis, light reaction	photosystem I reaction center subunit PsaK	403	19
TIGR03060	PF08846	High	GO:0010207	BP	photosystem II assembly	photosystem II biogenesis protein Psp29	398	19
TIGR03697	PF08846	Low	GO:0006355	BP	regulation of transcription, DNA-templated	global nitrogen regulator NtcA	396	19
TIGR03697	PF08846	Low	GO:0006808	BP	regulation of nitrogen utilization	global nitrogen regulator NtcA	396	19
TIGR04058	PF08846	Low	GO:0043447	BP	alkane biosynthetic process	long-chain fatty acyl-ACP reductase (aldehyde-forming)	350	19
TIGR04059	PF08846	High	GO:0043447	BP	alkane biosynthetic process	long-chain fatty aldehyde decarbonylase	355	19
TIGR01152	PF08848	Low	NA	NA	NA	photosystem II D2 protein (photosystem q(a) protein)	337	159
TIGR01153	PF08848	High	NA	NA	NA	photosystem II 44 kDa subunit reaction center protein	371	159
TIGR01332	PF08848	High	NA	NA	NA	cytochrome b559, alpha subunit	392	159
TIGR01333	PF08848	High	NA	NA	NA	cytochrome b559, beta subunit	361	159
TIGR02028	PF08848	High	GO:0015995	BP	chlorophyll biosynthetic process	geranylgeranyl reductase	400	159
TIGR02056	PF08848	High	NA	NA	NA	chlorophyll synthase ChlG	392	159
TIGR02387	PF08848	Low	NA	NA	NA	DNA-directed RNA polymerase, gamma subunit	383	159
TIGR02732	PF08848	Low	NA	NA	NA	9,9'-di-cis-zeta-carotene desaturase	376	159
TIGR02749	PF08848	High	GO:0010236	BP	plastoquinone biosynthetic process	solanesyl diphosphate synthase	396	159
TIGR03044	PF08848	High	NA	NA	NA	photosystem II protein Psb27	396	159
TIGR03047	PF08848	High	NA	NA	NA	photosystem II reaction center protein Psb28	402	159
TIGR03048	PF08848	High	GO:0009773	BP	photosynthetic electron transport in photosystem I	photosystem I iron-sulfur protein PsaC	390	159
TIGR03697	PF08848	High	GO:0006355	BP	regulation of transcription, DNA-templated	global nitrogen regulator NtcA	396	159
TIGR03697	PF08848	High	GO:0006808	BP	regulation of nitrogen utilization	global nitrogen regulator NtcA	396	159
TIGR02653	PF08849	Very high	GO:0008150	BP	biological_process	conserved hypothetical protein	993	3
TIGR02687	PF08849	Very high	NA	NA	NA	TIGR02687 family protein	1008	3
TIGR01153	PF08853	High	NA	NA	NA	photosystem II 44 kDa subunit reaction center protein	371	14
TIGR01332	PF08853	High	NA	NA	NA	cytochrome b559, alpha subunit	392	14
TIGR01333	PF08853	High	NA	NA	NA	cytochrome b559, beta subunit	361	14
