KO	DUF	CS	Pathway	Description	KODescription	KOCount	DUFCount
K00059	PF03235	Low	map01212	Fatty acid metabolism	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	26027	NA
K02586	PF03270	High	map00625	Chloroalkane and chloroalkene degradation	nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	1995	1
K02586	PF03270	High	map00910	Nitrogen metabolism	nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	1995	1
K02586	PF03270	High	map01100	Metabolic pathways	nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	1995	1
K02586	PF03270	High	map01120	Microbial metabolism in diverse environments	nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	1995	1
K02588	PF03270	Low	map00625	Chloroalkane and chloroalkene degradation	nifH; nitrogenase iron protein NifH	2833	1
K02588	PF03270	Low	map00910	Nitrogen metabolism	nifH; nitrogenase iron protein NifH	2833	1
K02588	PF03270	Low	map01100	Metabolic pathways	nifH; nitrogenase iron protein NifH	2833	1
K02588	PF03270	Low	map01120	Microbial metabolism in diverse environments	nifH; nitrogenase iron protein NifH	2833	1
K02591	PF03270	High	map00625	Chloroalkane and chloroalkene degradation	nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	1997	1
K02591	PF03270	High	map00910	Nitrogen metabolism	nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	1997	1
K02591	PF03270	High	map01100	Metabolic pathways	nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	1997	1
K02591	PF03270	High	map01120	Microbial metabolism in diverse environments	nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	1997	1
K02594	PF03270	Low	map00620	Pyruvate metabolism	nifV; homocitrate synthase NifV [EC:2.3.3.14]	2943	1
K09778	PF04028	Very high	map00540	Lipopolysaccharide biosynthesis	lpxJ; Kdo2-lipid IVA 3' secondary acyltransferase [EC:2.3.1.-]	3616	4764
K09778	PF04028	Very high	map01100	Metabolic pathways	lpxJ; Kdo2-lipid IVA 3' secondary acyltransferase [EC:2.3.1.-]	3616	4764
K03238	PF04242	High	map03013	RNA transport	EIF2S2; translation initiation factor 2 subunit 2	1	9895
K00200	PF04289	High	map00680	Methane metabolism	fwdA, fmdA; formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	687	9558
K00200	PF04289	High	map01100	Metabolic pathways	fwdA, fmdA; formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	687	9558
K00200	PF04289	High	map01120	Microbial metabolism in diverse environments	fwdA, fmdA; formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	687	9558
K00200	PF04289	High	map01130	Biosynthesis of antibiotics	fwdA, fmdA; formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	687	9558
K00200	PF04289	High	map01200	Carbon metabolism	fwdA, fmdA; formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	687	9558
K00201	PF04289	High	map00680	Methane metabolism	fwdB, fmdB; formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]	653	9558
K00201	PF04289	High	map01100	Metabolic pathways	fwdB, fmdB; formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]	653	9558
K00201	PF04289	High	map01120	Microbial metabolism in diverse environments	fwdB, fmdB; formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]	653	9558
K00201	PF04289	High	map01200	Carbon metabolism	fwdB, fmdB; formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]	653	9558
K00202	PF04289	High	map00680	Methane metabolism	fwdC, fmdC; formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]	484	9558
K00202	PF04289	High	map01100	Metabolic pathways	fwdC, fmdC; formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]	484	9558
K00202	PF04289	High	map01120	Microbial metabolism in diverse environments	fwdC, fmdC; formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]	484	9558
K00202	PF04289	High	map01200	Carbon metabolism	fwdC, fmdC; formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]	484	9558
K00672	PF04289	High	map00680	Methane metabolism	ftr; formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]	683	9558
K00672	PF04289	High	map01100	Metabolic pathways	ftr; formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]	683	9558
K00672	PF04289	High	map01120	Microbial metabolism in diverse environments	ftr; formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]	683	9558
K00672	PF04289	High	map01200	Carbon metabolism	ftr; formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]	683	9558
K01499	PF04289	High	map00680	Methane metabolism	mch; methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27]	731	9558
K01499	PF04289	High	map01100	Metabolic pathways	mch; methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27]	731	9558
K01499	PF04289	High	map01120	Microbial metabolism in diverse environments	mch; methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27]	731	9558
K01499	PF04289	High	map01200	Carbon metabolism	mch; methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27]	731	9558
K06984	PF04289	High	map00790	Folate biosynthesis	K06984; beta-ribofuranosylaminobenzene 5'-phosphate synthase [EC:2.4.2.54]	696	9558
K07072	PF04289	High	map00680	Methane metabolism	mfnF; (4-(4-[2-(gamma-L-glutamylamino)ethyl]phenoxymethyl)furan-2-yl)methanamine synthase [EC:2.5.1.131]	657	9558
K07072	PF04289	High	map01100	Metabolic pathways	mfnF; (4-(4-[2-(gamma-L-glutamylamino)ethyl]phenoxymethyl)furan-2-yl)methanamine synthase [EC:2.5.1.131]	657	9558
K07144	PF04289	High	map00680	Methane metabolism	mfnE; 5-(aminomethyl)-3-furanmethanol phosphate kinase [EC:2.7.4.31]	556	9558
K07144	PF04289	High	map01100	Metabolic pathways	mfnE; 5-(aminomethyl)-3-furanmethanol phosphate kinase [EC:2.7.4.31]	556	9558
K10714	PF04289	High	map00680	Methane metabolism	mtdB; methylene-tetrahydromethanopterin dehydrogenase [EC:1.5.1.-]	670	9558
K10714	PF04289	High	map01100	Metabolic pathways	mtdB; methylene-tetrahydromethanopterin dehydrogenase [EC:1.5.1.-]	670	9558
K10714	PF04289	High	map01120	Microbial metabolism in diverse environments	mtdB; methylene-tetrahydromethanopterin dehydrogenase [EC:1.5.1.-]	670	9558
K10714	PF04289	High	map01200	Carbon metabolism	mtdB; methylene-tetrahydromethanopterin dehydrogenase [EC:1.5.1.-]	670	9558
K15740	PF04289	High	map00790	Folate biosynthesis	mptN; tetrahydromethanopterin:alpha-L-glutamate ligase [EC:6.3.2.33]	716	9558
K09789	PF04301	Very high	map00780	Biotin metabolism	bioG; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]	665	3077
K09789	PF04301	Very high	map01100	Metabolic pathways	bioG; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]	665	3077
K14156	PF04398	High	map00564	Glycerophospholipid metabolism	CHK; choline/ethanolamine kinase [EC:2.7.1.32 2.7.1.82]	2	6918
K14156	PF04398	High	map01100	Metabolic pathways	CHK; choline/ethanolamine kinase [EC:2.7.1.32 2.7.1.82]	2	6918
K14156	PF04398	High	map05231	Choline metabolism in cancer	CHK; choline/ethanolamine kinase [EC:2.7.1.32 2.7.1.82]	2	6918
K09123	PF04412	Very high	map00330	Arginine and proline metabolism	lhpI; cis-L-3-hydroxyproline dehydratase [EC:4.2.1.171]	1633	3500
K09008	PF04430	High	map04714	Thermogenesis	NDUFAF3; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	1159	9237
K15671	PF04456	Low	map01051	Biosynthesis of ansamycins	rifB; rifamycin polyketide synthase modules 4, 5 and 6	547	3023
K15671	PF04456	Low	map01052	Type I polyketide structures	rifB; rifamycin polyketide synthase modules 4, 5 and 6	547	3023
K16000	PF04456	Low	map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	pikAI; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	818	3023
K16000	PF04456	Low	map01052	Type I polyketide structures	pikAI; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	818	3023
K16000	PF04456	Low	map01100	Metabolic pathways	pikAI; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	818	3023
K16000	PF04456	Low	map01130	Biosynthesis of antibiotics	pikAI; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	818	3023
K16377	PF04456	Low	map01052	Type I polyketide structures	fkbA; polyketide synthase FkbA	408	3023
K16393	PF04456	Low	map01052	Type I polyketide structures	fscB; candicidin polyketide synthase FscB	673	3023
K16401	PF04456	Low	map01052	Type I polyketide structures	sorA; soraphen polyketide synthase A	482	3023
K19203	PF04456	Low	map01052	Type I polyketide structures	pimS1; pimaricinolide synthase PimS1	482	3023
K02694	PF04483	High	map00195	Photosynthesis	psaF; photosystem I subunit III	391	3
K02694	PF04483	High	map01100	Metabolic pathways	psaF; photosystem I subunit III	391	3
K02696	PF04483	Low	map00195	Photosynthesis	psaI; photosystem I subunit VIII	305	3
K02697	PF04483	Low	map00195	Photosynthesis	psaJ; photosystem I subunit IX	348	3
K02708	PF04483	Low	map00195	Photosynthesis	psbF; photosystem II cytochrome b559 subunit beta	361	3
K02708	PF04483	Low	map01100	Metabolic pathways	psbF; photosystem II cytochrome b559 subunit beta	361	3
K02723	PF04483	Low	map00195	Photosynthesis	psbY; photosystem II PsbY protein	332	3
K02738	PF04646	Very high	map03050	Proteasome	PSMB6; 20S proteasome subunit beta 1 [EC:3.4.25.1]	1	1229
K00329	PF04800	High	map00190	Oxidative phosphorylation	E7.1.1.2; NADH dehydrogenase [EC:7.1.1.2]	1984	2
K03937	PF04800	High	map00190	Oxidative phosphorylation	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4	2252	2
K03937	PF04800	High	map01100	Metabolic pathways	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4	2252	2
K03937	PF04800	High	map04714	Thermogenesis	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4	2252	2
K03937	PF04800	High	map04723	Retrograde endocannabinoid signaling	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4	2252	2
K03937	PF04800	High	map04932	Non-alcoholic fatty liver disease (NAFLD)	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4	2252	2
K03937	PF04800	High	map05010	Alzheimer disease	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4	2252	2
K03937	PF04800	High	map05012	Parkinson disease	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4	2252	2
K03937	PF04800	High	map05016	Huntington disease	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4	2252	2
K05553	PF04978	Low	map00253	Tetracycline biosynthesis	actI3, oxyC, tcmM, snoa3, aknD, mtmS; minimal PKS acyl carrier protein	696	1
K05553	PF04978	Low	map01056	Biosynthesis of type II polyketide backbone	actI3, oxyC, tcmM, snoa3, aknD, mtmS; minimal PKS acyl carrier protein	696	1
K05553	PF04978	Low	map01100	Metabolic pathways	actI3, oxyC, tcmM, snoa3, aknD, mtmS; minimal PKS acyl carrier protein	696	1
K05553	PF04978	Low	map01130	Biosynthesis of antibiotics	actI3, oxyC, tcmM, snoa3, aknD, mtmS; minimal PKS acyl carrier protein	696	1
K14249	PF04978	Low	map00253	Tetracycline biosynthesis	oxyK; bifunctional cyclase/aromatase [EC:4.2.1.-]	458	1
K14249	PF04978	Low	map01056	Biosynthesis of type II polyketide backbone	oxyK; bifunctional cyclase/aromatase [EC:4.2.1.-]	458	1
K14249	PF04978	Low	map01100	Metabolic pathways	oxyK; bifunctional cyclase/aromatase [EC:4.2.1.-]	458	1
K14249	PF04978	Low	map01130	Biosynthesis of antibiotics	oxyK; bifunctional cyclase/aromatase [EC:4.2.1.-]	458	1
K14367	PF04978	Low	map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	eryBV; erythronolide mycarosyltransferase [EC:2.4.1.328]	480	1
K14367	PF04978	Low	map01052	Type I polyketide structures	eryBV; erythronolide mycarosyltransferase [EC:2.4.1.328]	480	1
K14367	PF04978	Low	map01100	Metabolic pathways	eryBV; erythronolide mycarosyltransferase [EC:2.4.1.328]	480	1
K14367	PF04978	Low	map01130	Biosynthesis of antibiotics	eryBV; erythronolide mycarosyltransferase [EC:2.4.1.328]	480	1
K14368	PF04978	Low	map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	eryCIII; 3-alpha-mycarosylerythronolide B desosaminyl transferase [EC:2.4.1.278]	483	1
K14368	PF04978	Low	map01052	Type I polyketide structures	eryCIII; 3-alpha-mycarosylerythronolide B desosaminyl transferase [EC:2.4.1.278]	483	1
K14368	PF04978	Low	map01100	Metabolic pathways	eryCIII; 3-alpha-mycarosylerythronolide B desosaminyl transferase [EC:2.4.1.278]	483	1
K14368	PF04978	Low	map01130	Biosynthesis of antibiotics	eryCIII; 3-alpha-mycarosylerythronolide B desosaminyl transferase [EC:2.4.1.278]	483	1
K15884	PF04978	Low	map01056	Biosynthesis of type II polyketide backbone	snoaE, aknE1; bifunctional aromatase (cyclase/dehydratase) [EC:4.2.1.-]	543	1
K15884	PF04978	Low	map01100	Metabolic pathways	snoaE, aknE1; bifunctional aromatase (cyclase/dehydratase) [EC:4.2.1.-]	543	1
K15884	PF04978	Low	map01130	Biosynthesis of antibiotics	snoaE, aknE1; bifunctional aromatase (cyclase/dehydratase) [EC:4.2.1.-]	543	1
K15885	PF04978	Low	map01056	Biosynthesis of type II polyketide backbone	mtmQ; C7-C12 aromatase (ARO/CYC) [EC:4.2.1.-]	432	1
K15885	PF04978	Low	map01100	Metabolic pathways	mtmQ; C7-C12 aromatase (ARO/CYC) [EC:4.2.1.-]	432	1
K15885	PF04978	Low	map01130	Biosynthesis of antibiotics	mtmQ; C7-C12 aromatase (ARO/CYC) [EC:4.2.1.-]	432	1
K15935	PF04978	Low	map01057	Biosynthesis of type II polyketide products	lndGT4; L-rhodinosyltransferase	496	1
K15935	PF04978	Low	map01130	Biosynthesis of antibiotics	lndGT4; L-rhodinosyltransferase	496	1
K15937	PF04978	Low	map01057	Biosynthesis of type II polyketide products	urdGT1a; glycosyltransferase	452	1
K15937	PF04978	Low	map01130	Biosynthesis of antibiotics	urdGT1a; glycosyltransferase	452	1
K15946	PF04978	Low	map01057	Biosynthesis of type II polyketide products	aknS; aklavinone 7-alpha-L-rhodosaminyltransferase [EC:2.4.1.326]	516	1
K15946	PF04978	Low	map01130	Biosynthesis of antibiotics	aknS; aklavinone 7-alpha-L-rhodosaminyltransferase [EC:2.4.1.326]	516	1
K15948	PF04978	Low	map01057	Biosynthesis of type II polyketide products	aknK; aclacinomycin-T 2-deoxy-L-fucose transferase [EC:2.4.1.327]	498	1
K15948	PF04978	Low	map01130	Biosynthesis of antibiotics	aknK; aclacinomycin-T 2-deoxy-L-fucose transferase [EC:2.4.1.327]	498	1
K15951	PF04978	Low	map01057	Biosynthesis of type II polyketide products	dnrS; glycosyltransferase [EC:2.4.1.-]	507	1
K15951	PF04978	Low	map01130	Biosynthesis of antibiotics	dnrS; glycosyltransferase [EC:2.4.1.-]	507	1
K15960	PF04978	Low	map01057	Biosynthesis of type II polyketide products	mtmGIV; glycosyltransferase [EC:2.4.1.-]	453	1
K15960	PF04978	Low	map01100	Metabolic pathways	mtmGIV; glycosyltransferase [EC:2.4.1.-]	453	1
K15960	PF04978	Low	map01130	Biosynthesis of antibiotics	mtmGIV; glycosyltransferase [EC:2.4.1.-]	453	1
K15989	PF04978	Low	map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	tylMII; tylactone mycaminosyltransferase [EC:2.4.1.316]	525	1
K15989	PF04978	Low	map01052	Type I polyketide structures	tylMII; tylactone mycaminosyltransferase [EC:2.4.1.316]	525	1
K15989	PF04978	Low	map01100	Metabolic pathways	tylMII; tylactone mycaminosyltransferase [EC:2.4.1.316]	525	1
K15989	PF04978	Low	map01130	Biosynthesis of antibiotics	tylMII; tylactone mycaminosyltransferase [EC:2.4.1.316]	525	1
K15998	PF04978	Low	map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	megDI; TDP-megosamine glycosyltransferase	427	1
K15998	PF04978	Low	map01130	Biosynthesis of antibiotics	megDI; TDP-megosamine glycosyltransferase	427	1
K16000	PF04978	Low	map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	pikAI; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	818	1
K16000	PF04978	Low	map01052	Type I polyketide structures	pikAI; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	818	1
K16000	PF04978	Low	map01100	Metabolic pathways	pikAI; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	818	1
K16000	PF04978	Low	map01130	Biosynthesis of antibiotics	pikAI; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	818	1
K16004	PF04978	Low	map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	desVII; narbonolide/10-deoxymethynolide desosaminyltransferase [EC:2.4.1.277]	499	1
K16004	PF04978	Low	map01052	Type I polyketide structures	desVII; narbonolide/10-deoxymethynolide desosaminyltransferase [EC:2.4.1.277]	499	1
K16004	PF04978	Low	map01100	Metabolic pathways	desVII; narbonolide/10-deoxymethynolide desosaminyltransferase [EC:2.4.1.277]	499	1
K16004	PF04978	Low	map01130	Biosynthesis of antibiotics	desVII; narbonolide/10-deoxymethynolide desosaminyltransferase [EC:2.4.1.277]	499	1
K16029	PF04978	Low	map01051	Biosynthesis of ansamycins	asmA; ansamitocin polyketide synthase A	552	1
K16029	PF04978	Low	map01052	Type I polyketide structures	asmA; ansamitocin polyketide synthase A	552	1
K16376	PF04978	Low	map01052	Type I polyketide structures	fkbC; polyketide synthase FkbC	850	1
K16393	PF04978	Low	map01052	Type I polyketide structures	fscB; candicidin polyketide synthase FscB	673	1
K21187	PF04978	Low	map01059	Biosynthesis of enediyne antibiotics	sgcA6; glycosyltransferase [EC:2.4.1.-]	379	1
K21194	PF04978	Low	map01059	Biosynthesis of enediyne antibiotics	mdpA6; glycosyltransferase [EC:2.4.1.-]	375	1
K21229	PF04978	Low	map01059	Biosynthesis of enediyne antibiotics	kedS6; glycosyltransferase [EC:2.4.1.-]	519	1
K21230	PF04978	Low	map01059	Biosynthesis of enediyne antibiotics	kedS10; glycosyltransferase [EC:2.4.1.-]	465	1
K00356	PF05071	High	map00190	Oxidative phosphorylation	E1.6.99.3; NADH dehydrogenase [EC:1.6.99.3]	1249	5377
K03937	PF05071	Low	map00190	Oxidative phosphorylation	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4	2252	5377
K03937	PF05071	Low	map01100	Metabolic pathways	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4	2252	5377
K03937	PF05071	Low	map04714	Thermogenesis	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4	2252	5377
K03937	PF05071	Low	map04723	Retrograde endocannabinoid signaling	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4	2252	5377
K03937	PF05071	Low	map04932	Non-alcoholic fatty liver disease (NAFLD)	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4	2252	5377
K03937	PF05071	Low	map05010	Alzheimer disease	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4	2252	5377
K03937	PF05071	Low	map05012	Parkinson disease	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4	2252	5377
K03937	PF05071	Low	map05016	Huntington disease	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4	2252	5377
K11352	PF05071	High	map00190	Oxidative phosphorylation	NDUFA12; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12	1897	5377
K11352	PF05071	High	map01100	Metabolic pathways	NDUFA12; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12	1897	5377
K11352	PF05071	High	map04714	Thermogenesis	NDUFA12; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12	1897	5377
K11352	PF05071	High	map04723	Retrograde endocannabinoid signaling	NDUFA12; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12	1897	5377
K11352	PF05071	High	map04932	Non-alcoholic fatty liver disease (NAFLD)	NDUFA12; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12	1897	5377
K11352	PF05071	High	map05010	Alzheimer disease	NDUFA12; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12	1897	5377
K11352	PF05071	High	map05012	Parkinson disease	NDUFA12; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12	1897	5377
K11352	PF05071	High	map05016	Huntington disease	NDUFA12; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12	1897	5377
K13583	PF05071	Low	map04112	Cell cycle - Caulobacter	gcrA; GcrA cell cycle regulator	2684	5377
K00799	PF05284	Low	map00480	Glutathione metabolism	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	5
K00799	PF05284	Low	map00980	Metabolism of xenobiotics by cytochrome P450	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	5
K00799	PF05284	Low	map00982	Drug metabolism - cytochrome P450	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	5
K00799	PF05284	Low	map00983	Drug metabolism - other enzymes	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	5
K00799	PF05284	Low	map01100	Metabolic pathways	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	5
K00799	PF05284	Low	map01524	Platinum drug resistance	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	5
K00799	PF05284	Low	map05200	Pathways in cancer	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	5
K00799	PF05284	Low	map05204	Chemical carcinogenesis	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	5
K00799	PF05284	Low	map05225	Hepatocellular carcinoma	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	5
K00799	PF05284	Low	map05418	Fluid shear stress and atherosclerosis	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	5
K03205	PF05284	High	map03070	Bacterial secretion system	virD4, lvhD4; type IV secretion system protein VirD4 [EC:7.4.2.8]	5455	5
K03566	PF05284	Low	map02026	Biofilm formation - Escherichia coli	gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator	8976	5
K07344	PF05284	Low	map02024	Quorum sensing	trbL; type IV secretion system protein TrbL	1644	5
K20266	PF05284	Low	map02024	Quorum sensing	trbJ; type IV secretion system protein TrbJ	1828	5
K20527	PF05284	High	map02024	Quorum sensing	trbB; type IV secretion system protein TrbB [EC:7.4.2.8]	1731	5
K20528	PF05284	High	map02024	Quorum sensing	trbC; type IV secretion system protein TrbC	1721	5
K20529	PF05284	High	map02024	Quorum sensing	trbD; type IV secretion system protein TrbD	1698	5
K20530	PF05284	High	map02024	Quorum sensing	trbE; type IV secretion system protein TrbE [EC:7.4.2.8]	1806	5
